                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4827,                 4.5867,                  1.945,                 0.0023,                0.07619,                0.00453,                0.00134,                 2.3194,                 4.6834,                 2.0131,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 2.4392,                 4.6165,                 1.8661,                0.00308,                0.08571,                0.01181,                0.00416,                 2.2189,                  4.652,                 1.9245,             2.0713e-05,             2.0713e-05,             2.0713e-05
                      3,                 2.4204,                 4.5639,                 1.8555,                0.00451,                0.09524,                0.06293,                0.03927,                 2.1286,                 4.6301,                 1.8147,             3.3344e-05,             3.3344e-05,             3.3344e-05
                      4,                 2.1837,                 4.4824,                 1.6595,                0.00787,                    0.1,                0.08733,                0.06796,                 1.9726,                 4.6043,                  1.688,             4.5032e-05,             4.5032e-05,             4.5032e-05
                      5,                 2.0741,                 4.3724,                 1.6288,                0.01214,                    0.1,                0.09752,                0.07876,                 1.8252,                 4.5864,                 1.5797,             5.5778e-05,             5.5778e-05,             5.5778e-05
                      6,                 2.0143,                 4.3452,                 1.5274,                0.01373,                    0.1,                  0.099,                0.07989,                 1.7641,                 4.5515,                 1.4878,             6.5581e-05,             6.5581e-05,             6.5581e-05
                      7,                 1.9026,                 4.2028,                 1.4669,                0.01469,                    0.1,                 0.0995,                0.07566,                 1.6992,                 4.4882,                 1.3875,             7.4442e-05,             7.4442e-05,             7.4442e-05
                      8,                  1.773,                 4.0501,                 1.3266,                0.01489,                    0.1,                 0.0995,                0.07584,                 1.6469,                 4.4169,                 1.3046,              8.236e-05,              8.236e-05,              8.236e-05
                      9,                 1.7503,                 3.8951,                 1.2831,                0.01603,                    0.1,                 0.0995,                0.07865,                 1.6246,                 4.3815,                 1.2687,             8.9336e-05,             8.9336e-05,             8.9336e-05
                     10,                 1.7631,                 3.8011,                 1.3231,                0.01628,                    0.1,                 0.0995,                0.07956,                 1.5973,                 4.3427,                 1.2366,             9.5369e-05,             9.5369e-05,             9.5369e-05
                     11,                 1.6752,                 3.7126,                 1.2832,                0.01744,                0.10476,                0.09955,                0.08135,                 1.5588,                 4.3055,                 1.2019,             0.00010046,             0.00010046,             0.00010046
                     12,                 1.7252,                 3.6664,                 1.2754,                0.01796,                0.10952,                0.09961,                0.08286,                 1.5294,                 4.2702,                 1.1773,             0.00010461,             0.00010461,             0.00010461
                     13,                 1.7143,                 3.4057,                 1.2375,                0.01841,                0.10952,                 0.0996,                0.08286,                 1.5019,                 4.2322,                 1.1531,             0.00010781,             0.00010781,             0.00010781
                     14,                 1.7173,                 3.3464,                  1.247,                0.02141,                0.11905,                0.10018,                0.08351,                 1.4848,                 4.2032,                 1.1401,             0.00011008,             0.00011008,             0.00011008
                     15,                 1.5173,                 3.1662,                 1.2502,                0.02128,                0.12381,                0.10032,                0.08623,                 1.4585,                 4.1746,                 1.1271,              0.0001114,              0.0001114,              0.0001114
                     16,                 1.5896,                 3.0457,                 1.1488,                      1,                0.08658,                0.10045,                0.08705,                 1.4374,                 4.1401,                 1.1189,             0.00011178,             0.00011178,             0.00011178
                     17,                 1.5119,                 2.9253,                 1.2314,                      1,                0.08872,                0.10033,                 0.0879,                 1.4206,                  4.094,                 1.1133,             0.00011121,             0.00011121,             0.00011121
                     18,                  1.694,                  2.702,                 1.1872,                0.99921,                    0.1,                0.15671,                0.11721,                  1.414,                 4.0313,                 1.1127,             0.00010971,             0.00010971,             0.00010971
                     19,                 1.5943,                 2.6083,                 1.1637,                0.99804,                    0.1,                0.22313,                0.15853,                 1.4205,                 3.9647,                 1.1198,             0.00010726,             0.00010726,             0.00010726
                     20,                 1.7104,                 2.5475,                 1.1671,                0.99733,                    0.1,                0.30032,                0.20832,                 1.4238,                 3.8949,                 1.1215,             0.00010387,             0.00010387,             0.00010387
                     21,                 1.5688,                 2.5663,                  1.256,                0.99675,                    0.1,                0.35641,                0.24049,                 1.4361,                 3.8411,                 1.1257,             9.9532e-05,             9.9532e-05,             9.9532e-05
                     22,                 1.5339,                 2.4011,                 1.2185,                0.99638,                    0.1,                0.37436,                0.24747,                 1.4457,                 3.7918,                 1.1317,             9.4255e-05,             9.4255e-05,             9.4255e-05
                     23,                 1.5299,                 2.1972,                 1.1753,                0.99617,                    0.1,                0.38084,                0.24797,                  1.456,                 3.7442,                 1.1343,             8.8036e-05,             8.8036e-05,             8.8036e-05
                     24,                 1.5042,                  2.136,                 1.2251,                0.99608,                    0.1,                0.39341,                0.25392,                 1.4554,                 3.6916,                 1.1343,             8.0875e-05,             8.0875e-05,             8.0875e-05
                     25,                 1.4764,                 2.0894,                  1.184,                0.99603,                    0.1,                0.41241,                  0.266,                 1.4462,                 3.6427,                 1.1297,             7.2771e-05,             7.2771e-05,             7.2771e-05
                     26,                 1.4006,                 2.0458,                 1.2348,                0.99597,                    0.1,                 0.4317,                0.27685,                 1.4396,                  3.593,                 1.1268,             6.3724e-05,             6.3724e-05,             6.3724e-05
                     27,                 1.3934,                 2.0713,                 1.2082,                0.99592,                    0.1,                0.45796,                0.28913,                 1.4325,                 3.5239,                 1.1266,             5.3736e-05,             5.3736e-05,             5.3736e-05
                     28,                 1.5108,                 1.9784,                 1.1968,                0.99592,                    0.1,                0.45796,                0.28913,                 1.4325,                 3.5239,                 1.1266,             4.2804e-05,             4.2804e-05,             4.2804e-05
                     29,                  1.538,                 1.9548,                 1.2182,                0.99587,                    0.1,                0.48331,                0.30381,                  1.427,                 3.4491,                  1.127,              3.093e-05,              3.093e-05,              3.093e-05
                     30,                 1.5109,                 1.9592,                 1.1893,                0.99583,                    0.1,                0.49756,                0.31506,                 1.4272,                 3.3732,                 1.1264,             1.8114e-05,             1.8114e-05,             1.8114e-05
